species,code,lu,ref_to,Flor_P1_b,Flor_P1_l,Flor_P1_u,Flor_P2_b,Flor_P2_l,Flor_P2_u,Flor_P3_b,Flor_P3_l,Flor_P3_u,Nest_P1_b,Nest_P1_l,Nest_P1_u,Nest_per_ha
8,10,10,NA,3.428571429,0.404855644,6.452287213,3.428571429,0.404855644,6.452287213,3.428571429,0.404855644,6.452287213,0,0,0,0
8,11,11,NA,14,12.48814211,15.51185789,14,12.48814211,15.51185789,14,12.48814211,15.51185789,0,0,0,0
8,12,12,NA,18.4,16.93940651,19.86059349,18.4,16.93940651,19.86059349,18.4,16.93940651,19.86059349,0.24,0.020910977,0.459089023,4.6240008
8,13,13,NA,2.285714286,0.773856394,3.797572178,2.285714286,0.773856394,3.797572178,2.285714286,0.773856394,3.797572178,0,0,0,0
8,14,14,NA,4.571428571,1.547712787,7.595144356,4.571428571,1.547712787,7.595144356,4.571428571,1.547712787,7.595144356,0.028571429,-0.02488082,0.082023677,0.550476286
8,15,15,NA,16.8,13.87881303,19.72118697,16.8,13.87881303,19.72118697,16.8,13.87881303,19.72118697,0.2,-0.012132034,0.412132034,3.853334
8,16,16,NA,8,4.8,11.2,8,4.8,11.2,8,4.8,11.2,0.08,0.006970326,0.153029674,1.5413336
8,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
8,18,18,NA,20,20,20,20,20,20,20,20,20,0.08,0.006970326,0.153029674,1.5413336
8,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
8,20,20,NA,16.44444444,13.46302047,19.42586841,16.44444444,13.46302047,19.42586841,16.44444444,13.46302047,19.42586841,0.16,0.013940651,0.306059349,3.0826672
8,21,21,NA,20,20,20,20,20,20,20,20,20,0.08,0.006970326,0.153029674,1.5413336
8,22,22,NA,18.4,16.93940651,19.86059349,18.4,16.93940651,19.86059349,18.4,16.93940651,19.86059349,0,0,0,0
8,23,23,NA,4,2.4,5.6,4,2.4,5.6,4,2.4,5.6,0,0,0,0
8,24,24,NA,20,20,20,20,20,20,20,20,20,0.84,0.693940651,0.986059349,16.1840028
8,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,27,27,NA,17.33333333,14.50490621,20.16176046,17.33333333,14.50490621,20.16176046,17.33333333,14.50490621,20.16176046,0,0,0,0
8,28,28,NA,16.8,13.87881303,19.72118697,16.8,13.87881303,19.72118697,16.8,13.87881303,19.72118697,0,0,0,0
8,29,29,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
8,30,30,NA,1,-0.309307341,2.309307341,1,-0.309307341,2.309307341,1,-0.309307341,2.309307341,0,0,0,0
8,31,31,NA,12,7.2,16.8,12,7.2,16.8,12,7.2,16.8,0,0,0,0
8,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,33,33,NA,20,20,20,20,20,20,20,20,20,0,0,0,0
8,34,34,NA,20,20,20,20,20,20,20,20,20,0.6,0.36,0.84,11.560002
8,35,35,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
8,36,36,NA,18.4,16.93940651,19.86059349,18.4,16.93940651,19.86059349,18.4,16.93940651,19.86059349,0,0,0,0
8,37,37,NA,16,11.75735931,20.24264069,16,11.75735931,20.24264069,16,11.75735931,20.24264069,0,0,0,0
8,38,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
8,39,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,40,40,NA,17.33333333,14.50490621,20.16176046,17.33333333,14.50490621,20.16176046,17.33333333,14.50490621,20.16176046,0,0,0,0
8,41,41,NA,18.66666667,17.2524531,20.08088023,18.66666667,17.2524531,20.08088023,18.66666667,17.2524531,20.08088023,0,0,0,0
8,42,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,43,43,NA,12,10.8,13.2,12,10.8,13.2,12,10.8,13.2,NA,NA,NA,NA
8,44,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,46,46,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
